,Unnamed: 0,Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_MM_DD_YYYY,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,Dealer_Positions_Long_All,Dealer_Positions_Short_All,Dealer_Positions_Spread_All,Asset_Mgr_Positions_Long_All,Asset_Mgr_Positions_Short_All,Asset_Mgr_Positions_Spread_All,Lev_Money_Positions_Long_All,Lev_Money_Positions_Short_All,Lev_Money_Positions_Spread_All,Other_Rept_Positions_Long_All,Other_Rept_Positions_Short_All,Other_Rept_Positions_Spread_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Change_in_Open_Interest_All,Change_in_Dealer_Long_All,Change_in_Dealer_Short_All,Change_in_Dealer_Spread_All,Change_in_Asset_Mgr_Long_All,Change_in_Asset_Mgr_Short_All,Change_in_Asset_Mgr_Spread_All,Change_in_Lev_Money_Long_All,Change_in_Lev_Money_Short_All,Change_in_Lev_Money_Spread_All,Change_in_Other_Rept_Long_All,Change_in_Other_Rept_Short_All,Change_in_Other_Rept_Spread_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_Dealer_Long_All,Pct_of_OI_Dealer_Short_All,Pct_of_OI_Dealer_Spread_All,Pct_of_OI_Asset_Mgr_Long_All,Pct_of_OI_Asset_Mgr_Short_All,Pct_of_OI_Asset_Mgr_Spread_All,Pct_of_OI_Lev_Money_Long_All,Pct_of_OI_Lev_Money_Short_All,Pct_of_OI_Lev_Money_Spread_All,Pct_of_OI_Other_Rept_Long_All,Pct_of_OI_Other_Rept_Short_All,Pct_of_OI_Other_Rept_Spread_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Traders_Tot_All,Traders_Dealer_Long_All,Traders_Dealer_Short_All,Traders_Dealer_Spread_All,Traders_Asset_Mgr_Long_All,Traders_Asset_Mgr_Short_All,Traders_Asset_Mgr_Spread_All,Traders_Lev_Money_Long_All,Traders_Lev_Money_Short_All,Traders_Lev_Money_Spread_All,Traders_Other_Rept_Long_All,Traders_Other_Rept_Short_All,Traders_Other_Rept_Spread_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Contract_Units,CFTC_SubGroup_Code,FutOnly_or_Combined,Leverage_Money_Diff,Leverage_Money_Signal1,Dealer_Diff,Dealer_Signal1,Asset_Mgr_Diff,Asset_Mgr_Signal1,Trade_Date,CALL_AUDUSD,PUT_AUDUSD,Returns,Basic_PL,Total_Basic_PL,AR_Forecast_Returns,AR_Forecast_Diff,AR_Comb_Forecast,AR_Comb_PL,Total_AR_Comb_PL,Forecast_Volatility,hvol21,GARCH_PL,Total_GARCH__PL
10,10,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2006-08-22,22.08.2006,232741,CME,0,232,62131,946,49951,1331,1961,906,363,32508,995,0,546,1076,0,37655,54622,24476,7509,-10762.0,419.0,-9765.0,793.0,-208.0,0.0,0.0,-10195.0,-2167.0,0.0,-589.0,15.0,0.0,-9780.0,-11124.0,-982.0,362.0,100,1.5,80.4,2.1,3.2,1.5,0.6,52.3,1.6,0.0,0.9,1.7,0.0,60.6,87.9,39.4,12.1,48,,12.0,,4.0,,,24.0,,0.0,,,0.0,33.0,18.0,21.4,57.1,31.6,75.9,21.4,55.9,31.6,73.9,"(CONTRACTS OF AUD 100,000)",F10,FutOnly,0.940602334119,SHORT,-0.962826885671,LONG,0.367980467388,LONG,2006-08-28,1134.21,-4198.33,0.019677305687,1134.21,13417.32,0.0018483381624,-0.964606515348,-0.964606515348,1134.21,12035.49,0.103443853304,0.107992411712,1134.21,9202.34
11,11,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2006-08-29,29.08.2006,232741,CME,0,232,63348,1859,51806,1474,1247,906,363,33721,522,0,546,1361,0,39210,56432,24138,6916,1217.0,913.0,1855.0,143.0,-714.0,0.0,0.0,1213.0,-473.0,0.0,0.0,285.0,0.0,1555.0,1810.0,-338.0,-593.0,100,2.9,81.8,2.3,2.0,1.4,0.6,53.2,0.8,0.0,0.9,2.1,0.0,61.9,89.1,38.1,10.9,51,,13.0,,,,,27.0,,0.0,,,0.0,35.0,19.0,22.4,56.3,31.4,76.2,22.4,56.0,31.4,74.2,"(CONTRACTS OF AUD 100,000)",F10,FutOnly,0.969512017055,SHORT,-0.93071834529,LONG,0.15838365072,LONG,2006-09-04,-14484.43,1043.09,0.032108540381,-14484.43,-1067.11,0.00302154101633,-0.933530548945,-0.933530548945,-14484.43,-2448.94,0.0996340575506,0.138138561342,-14484.43,-5282.09
12,12,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2006-09-05,05.09.2006,232741,CME,0,232,81372,1180,65228,1603,1166,906,363,49600,3685,0,0,1462,0,53912,73247,27460,8125,18024.0,-679.0,13422.0,129.0,-81.0,0.0,0.0,15879.0,3163.0,0.0,-546.0,101.0,0.0,14702.0,16815.0,3322.0,1209.0,100,1.5,80.2,2.0,1.4,1.1,0.4,61.0,4.5,0.0,0.0,1.8,0.0,66.3,90.0,33.7,10.0,55,,13.0,,,,,30.0,,0.0,0.0,,0.0,37.0,21.0,25.3,56.8,37.8,75.4,25.3,56.8,37.8,73.7,"(CONTRACTS OF AUD 100,000)",F10,FutOnly,0.861687153983,SHORT,-0.964462112998,LONG,0.125482625483,LONG,2006-09-11,1216.68,1088.11,-0.033743767708,1216.68,149.57,-0.00319329746834,-0.961382298574,-0.961382298574,1216.68,-1232.26,0.0965344198095,0.151523184877,1216.68,-4065.41
13,13,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2006-09-12,12.09.2006,232741,CME,0,232,69370,3738,42809,11954,1032,1257,0,29428,721,401,179,947,260,46992,58349,22378,11021,-12002.0,2558.0,-22419.0,10351.0,-134.0,351.0,-363.0,-20172.0,-2964.0,401.0,179.0,-515.0,260.0,-6920.0,-14898.0,-5082.0,2896.0,100,5.4,61.7,17.2,1.5,1.8,0.0,42.4,1.0,0.6,0.3,1.4,0.4,67.7,84.1,32.3,15.9,45,5.0,11.0,9.0,,,0.0,21.0,,,,,,37.0,19.0,28.4,53.3,40.5,71.5,20.9,43.0,29.5,57.6,"(CONTRACTS OF AUD 100,000)",F10,FutOnly,0.952170884606,SHORT,-0.839388145315,LONG,-0.0982961992136,SHORT,2006-09-18,1098.39,978.25,0.125073967683,1098.39,1247.96,0.0117951912058,-0.849288888985,-0.849288888985,1098.39,-133.87,0.106022414022,0.296268732911,1098.39,-2967.02
14,14,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2006-09-19,19.09.2006,232741,CME,0,232,61952,851,44856,498,434,1826,9,39661,5395,0,507,1836,0,41960,54420,19992,7532,-7418.0,-2887.0,2047.0,-11456.0,-598.0,569.0,9.0,10233.0,4674.0,-401.0,328.0,889.0,-260.0,-5032.0,-3929.0,-2386.0,-3489.0,100,1.4,72.4,0.8,0.7,2.9,0.0,64.0,8.7,0.0,0.8,3.0,0.0,67.7,87.8,32.3,12.2,47,,12.0,,,,,22.0,5.0,0.0,,,0.0,28.0,22.0,35.7,46.8,46.1,66.9,35.7,45.9,46.1,66.1,"(CONTRACTS OF AUD 100,000)",F10,FutOnly,0.760520241477,SHORT,-0.962762815324,LONG,-0.61592920354,SHORT,2006-09-25,1018.6,911.3,-0.123374670009,1018.6,2266.56,-0.0116522504983,-0.951544461829,-0.951544461829,1018.6,884.73,0.112663074814,0.308288813357,1018.6,-1948.42
15,15,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2006-09-26,26.09.2006,232741,CME,0,232,57337,916,41180,517,421,1826,9,35614,3493,0,497,1718,0,37974,48743,19363,8594,-4615.0,65.0,-3676.0,19.0,-13.0,0.0,0.0,-4047.0,-1902.0,0.0,-10.0,-118.0,0.0,-3986.0,-5677.0,-629.0,1062.0,100,1.6,71.8,0.9,0.7,3.2,0.0,62.1,6.1,0.0,0.9,3.0,0.0,66.2,85.0,33.8,15.0,48,,12.0,,,,,24.0,4.0,0.0,,,0.0,30.0,21.0,28.8,48.1,39.6,66.4,28.8,48.1,39.6,65.5,"(CONTRACTS OF AUD 100,000)",F10,FutOnly,0.821361904518,SHORT,-0.956480425694,LONG,-0.625278148643,SHORT,2006-10-02,1179.26,1057.92,0.00628238963,1179.26,3445.82,0.000584187486044,-0.957039189589,-0.957039189589,1179.26,2063.99,0.106579785376,0.332175439057,1179.26,-769.16
16,16,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2006-10-03,03.10.2006,232741,CME,0,232,56292,918,34362,806,0,2321,9,36950,9317,0,0,500,0,38683,47315,17609,8977,-1045.0,2.0,-6818.0,289.0,-421.0,495.0,0.0,1336.0,5824.0,0.0,-497.0,-1218.0,0.0,709.0,-1428.0,-1754.0,383.0,100,1.6,61.0,1.4,0.0,4.1,0.0,65.6,16.6,0.0,0.0,0.9,0.0,68.7,84.1,31.3,15.9,46,,12.0,,0.0,4.0,,21.0,7.0,0.0,0.0,,0.0,26.0,24.0,36.6,42.3,47.7,62.6,36.6,41.9,47.7,61.2,"(CONTRACTS OF AUD 100,000)",F10,FutOnly,0.597250740268,SHORT,-0.947959183673,LONG,-1.0,SHORT,2006-10-09,977.56,-3535.79,0.008521242021,977.56,4423.38,0.000795480095292,-0.948713266335,-0.948713266335,977.56,3041.55,0.101464431182,0.348726700233,977.56,208.4
17,17,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2006-10-10,10.10.2006,232741,CME,0,232,65437,917,41219,1120,0,2412,9,44942,8553,16,0,2270,0,47004,55599,18433,9838,9145.0,-1.0,6857.0,314.0,0.0,91.0,0.0,7992.0,-764.0,16.0,0.0,1770.0,0.0,8321.0,8284.0,824.0,861.0,100,1.4,63.0,1.7,0.0,3.7,0.0,68.7,13.1,0.0,0.0,3.5,0.0,71.8,85.0,28.2,15.0,48,,12.0,,0.0,4.0,,22.0,7.0,,0.0,,0.0,26.0,26.0,41.0,41.8,52.0,63.2,41.0,41.7,52.0,61.5,"(CONTRACTS OF AUD 100,000)",F10,FutOnly,0.680231797364,SHORT,-0.95647427378,LONG,-1.0,SHORT,2006-10-16,910.05,821.66,-0.008515090107,910.05,5333.43,-0.000812330710727,-0.955697300353,-0.955697300353,910.05,3951.6,0.0971595287913,0.322830206736,910.05,1118.45
18,18,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2006-10-17,17.10.2006,232741,CME,0,232,74025,1250,51534,1563,0,2524,9,49709,10242,0,687,0,0,53218,65872,20807,8153,8588.0,333.0,10315.0,443.0,0.0,112.0,0.0,4767.0,1689.0,-16.0,687.0,-2270.0,0.0,6214.0,10273.0,2374.0,-1685.0,100,1.7,69.6,2.1,0.0,3.4,0.0,67.2,13.8,0.0,0.9,0.0,0.0,71.9,89.0,28.1,11.0,53,,12.0,,0.0,4.0,,27.0,7.0,0.0,,0.0,0.0,32.0,23.0,38.3,47.6,48.0,69.0,38.3,46.4,48.0,66.9,"(CONTRACTS OF AUD 100,000)",F10,FutOnly,0.658320962119,SHORT,-0.952637162777,LONG,-1.0,SHORT,2006-10-23,888.74,-7906.59,0.003837111003,888.74,6222.17,0.000353413316424,-0.952973837436,-0.952973837436,888.74,4840.34,0.0935173704876,0.0634385696595,0.0,1118.45
19,19,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2006-10-24,24.10.2006,232741,CME,0,232,87502,858,66533,1385,0,2576,9,61217,7573,0,775,0,0,64244,78076,23258,9426,13477.0,-392.0,14999.0,-178.0,0.0,52.0,0.0,11508.0,-2669.0,0.0,88.0,0.0,0.0,11026.0,12204.0,2451.0,1273.0,100,1.0,76.0,1.6,0.0,2.9,0.0,70.0,8.7,0.0,0.9,0.0,0.0,73.4,89.2,26.6,10.8,50,,12.0,,0.0,4.0,,28.0,,0.0,,0.0,0.0,33.0,19.0,34.4,51.2,47.2,72.8,34.4,49.6,47.2,71.2,"(CONTRACTS OF AUD 100,000)",F10,FutOnly,0.779822648641,SHORT,-0.974536659198,LONG,-1.0,SHORT,2006-10-30,875.27,774.99,-0.021899496421,875.27,7097.44,-0.00207548952579,-0.972514018569,-0.972514018569,875.27,5715.61,0.0909021014123,0.118505187676,875.27,1993.72
20,20,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2006-10-31,31.10.2006,232741,CME,0,232,107657,1322,82021,989,0,2495,9,76703,9572,263,1729,1832,0,81015,97181,26642,10476,20155.0,464.0,15488.0,-396.0,0.0,-81.0,0.0,15486.0,1999.0,263.0,954.0,1832.0,0.0,16771.0,19105.0,3384.0,1050.0,100,1.2,76.2,0.9,0.0,2.3,0.0,71.2,8.9,0.2,1.6,1.7,0.0,75.3,90.3,24.7,9.7,66,,15.0,,0.0,4.0,,36.0,,,,,0.0,44.0,26.0,27.1,49.7,42.1,71.9,27.1,49.7,42.1,70.9,"(CONTRACTS OF AUD 100,000)",F10,FutOnly,0.778104897131,SHORT,-0.968275680021,LONG,-1.0,SHORT,2006-11-06,-2361.18,962.44,0.006260979177,-2361.18,4736.26,0.000582166865793,-0.968839378039,-0.968839378039,-2361.18,3354.43,0.0883501614011,0.120666727365,-2361.18,-367.46
21,21,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2006-11-07,07.11.2006,232741,CME,0,232,123491,1413,99326,299,561,1826,9,90093,9942,14,2457,2576,0,94846,113992,28645,9499,15834.0,91.0,17305.0,-690.0,561.0,-669.0,0.0,13390.0,370.0,-249.0,728.0,744.0,0.0,13831.0,16811.0,2003.0,-977.0,100,1.1,80.4,0.2,0.5,1.5,0.0,73.0,8.1,0.0,2.0,2.1,0.0,76.8,92.3,23.2,7.7,74,,16.0,,,,,41.0,,,4.0,,0.0,53.0,25.0,31.2,54.1,43.9,74.1,31.2,53.9,43.9,73.9,"(CONTRACTS OF AUD 100,000)",F10,FutOnly,0.801229569651,SHORT,-0.971947309384,LONG,-0.529953917051,SHORT,2006-11-13,1021.25,-1741.53,-0.003671629363,1021.25,5757.51,-0.000355227123862,-0.971602047337,-0.971602047337,1021.25,4375.68,0.0862192930082,0.125490518301,1021.25,653.79
