,Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_MM_DD_YYYY,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,Dealer_Positions_Long_All,Dealer_Positions_Short_All,Dealer_Positions_Spread_All,Asset_Mgr_Positions_Long_All,Asset_Mgr_Positions_Short_All,Asset_Mgr_Positions_Spread_All,Lev_Money_Positions_Long_All,Lev_Money_Positions_Short_All,Lev_Money_Positions_Spread_All,Other_Rept_Positions_Long_All,Other_Rept_Positions_Short_All,Other_Rept_Positions_Spread_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Change_in_Open_Interest_All,Change_in_Dealer_Long_All,Change_in_Dealer_Short_All,Change_in_Dealer_Spread_All,Change_in_Asset_Mgr_Long_All,Change_in_Asset_Mgr_Short_All,Change_in_Asset_Mgr_Spread_All,Change_in_Lev_Money_Long_All,Change_in_Lev_Money_Short_All,Change_in_Lev_Money_Spread_All,Change_in_Other_Rept_Long_All,Change_in_Other_Rept_Short_All,Change_in_Other_Rept_Spread_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_Dealer_Long_All,Pct_of_OI_Dealer_Short_All,Pct_of_OI_Dealer_Spread_All,Pct_of_OI_Asset_Mgr_Long_All,Pct_of_OI_Asset_Mgr_Short_All,Pct_of_OI_Asset_Mgr_Spread_All,Pct_of_OI_Lev_Money_Long_All,Pct_of_OI_Lev_Money_Short_All,Pct_of_OI_Lev_Money_Spread_All,Pct_of_OI_Other_Rept_Long_All,Pct_of_OI_Other_Rept_Short_All,Pct_of_OI_Other_Rept_Spread_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Traders_Tot_All,Traders_Dealer_Long_All,Traders_Dealer_Short_All,Traders_Dealer_Spread_All,Traders_Asset_Mgr_Long_All,Traders_Asset_Mgr_Short_All,Traders_Asset_Mgr_Spread_All,Traders_Lev_Money_Long_All,Traders_Lev_Money_Short_All,Traders_Lev_Money_Spread_All,Traders_Other_Rept_Long_All,Traders_Other_Rept_Short_All,Traders_Other_Rept_Spread_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Contract_Units,CFTC_SubGroup_Code,FutOnly_or_Combined,Leverage_Money_Pos,Leverage_Money_Diff,Leverage_Money_Signal1,Dealer_Pos,Dealer_Diff,Dealer_Signal1,Asset_Mgr_Pos,Asset_Mgr_Diff,Asset_Mgr_Signal1
10,10-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE,2006-08-22,22.08.2006,043602,CBT,0,43,2314018,330296,184298,108333,471849,1006889,193467,590531,253737,103262,163122,85468,713,1961573,1936167,352445,377851,54149.0,-14595.0,2070.0,3946.0,-4881.0,67047.0,-9674.0,61437.0,2363.0,7263.0,-4828.0,-13992.0,-2725.0,35943.0,56298.0,18206.0,-2149.0,100,14.3,8.0,4.7,20.4,43.5,8.4,25.5,11.0,4.5,7.0,3.7,0.0,84.8,83.7,15.2,16.3,306,35.0,41.0,32.0,39.0,38.0,44.0,58.0,54.0,52.0,19.0,21.0,4.0,213.0,225.0,21.0,35.8,30.5,42.5,18.4,33.8,26.8,39.6,"(CONTRACTS OF $100,000 FACE VALUE)",F30,FutOnly,336794,0.39891835294,SHORT,145998,0.283714928662,SHORT,-535040,-0.361822040145,SHORT
11,10-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE,2006-08-29,29.08.2006,043602,CBT,0,43,2348181,350221,122279,94302,420845,1086934,220048,647151,219816,117520,108546,73539,13626,1972259,1948064,375922,400117,34163.0,19925.0,-62019.0,-14031.0,-51004.0,80045.0,26581.0,56620.0,-33921.0,14258.0,-54576.0,-11929.0,12913.0,10686.0,11897.0,23477.0,22266.0,100,14.9,5.2,4.0,17.9,46.3,9.4,27.6,9.4,5.0,4.6,3.1,0.6,84.0,83.0,16.0,17.0,282,33.0,30.0,34.0,40.0,36.0,48.0,60.0,44.0,60.0,15.0,19.0,12.0,223.0,213.0,21.8,37.5,31.9,45.9,18.2,35.8,26.8,42.4,"(CONTRACTS OF $100,000 FACE VALUE)",F30,FutOnly,427335,0.492908034562,SHORT,227942,0.482416931217,SHORT,-666089,-0.441768322811,SHORT
12,10-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE,2006-09-05,05.09.2006,043602,CBT,0,43,2270848,351274,177127,81613,480928,1056538,200056,677537,234065,41356,109184,85447,8807,1950755,1885009,320093,385839,-77333.0,1053.0,54848.0,-12689.0,60083.0,-30396.0,-19992.0,30386.0,14249.0,-76164.0,638.0,11908.0,-4819.0,-21504.0,-63055.0,-55829.0,-14278.0,100,15.5,7.8,3.6,21.2,46.5,8.8,29.8,10.3,1.8,4.8,3.8,0.4,85.9,83.0,14.1,17.0,283,30.0,33.0,26.0,42.0,35.0,46.0,56.0,52.0,41.0,12.0,23.0,7.0,193.0,210.0,23.9,37.0,33.8,44.9,20.1,35.4,29.5,42.2,"(CONTRACTS OF $100,000 FACE VALUE)",F30,FutOnly,443472,0.486475457491,SHORT,174147,0.329573562503,SHORT,-575610,-0.374388766971,SHORT
13,10-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE,2006-09-12,12.09.2006,043602,CBT,0,43,2270413,391352,169317,49067,488596,1129887,191362,680697,232974,34055,101499,74668,716,1937344,1882046,333069,388367,-435.0,40078.0,-7810.0,-32546.0,7668.0,73349.0,-8694.0,3160.0,-1091.0,-7301.0,-7685.0,-10779.0,-8091.0,-13411.0,-2963.0,12976.0,2528.0,100,17.2,7.5,2.2,21.5,49.8,8.4,30.0,10.3,1.5,4.5,3.3,0.0,85.3,82.9,14.7,17.1,292,29.0,33.0,19.0,41.0,37.0,46.0,62.0,53.0,32.0,14.0,23.0,6.0,197.0,198.0,25.5,39.4,34.9,47.3,22.8,38.1,31.5,44.8,"(CONTRACTS OF $100,000 FACE VALUE)",F30,FutOnly,447723,0.490026497503,SHORT,222035,0.396017971388,SHORT,-641291,-0.396229679274,SHORT
14,10-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE,2006-09-19,19.09.2006,043602,CBT,0,43,2318002,376943,180363,61351,496523,1094568,191848,715131,258169,35717,102519,80720,1799,1981831,1904535,336171,413467,47589.0,-14409.0,11046.0,12284.0,7927.0,-35319.0,486.0,34434.0,25195.0,1662.0,1020.0,6052.0,1083.0,44487.0,22489.0,3102.0,25100.0,100,16.3,7.8,2.6,21.4,47.2,8.3,30.9,11.1,1.5,4.4,3.5,0.1,85.5,82.2,14.5,17.8,298,32.0,34.0,17.0,39.0,40.0,47.0,59.0,57.0,36.0,14.0,23.0,7.0,202.0,203.0,25.2,36.8,35.0,44.6,22.7,35.5,31.5,42.2,"(CONTRACTS OF $100,000 FACE VALUE)",F30,FutOnly,456962,0.469497585534,SHORT,196580,0.352732610092,SHORT,-598045,-0.375871021833,SHORT
15,10-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE,2006-09-26,26.09.2006,043602,CBT,0,43,2197365,304788,237901,65527,471236,919800,206345,698556,238297,41583,87777,71475,5593,1881405,1786521,315960,410844,-120637.0,-72155.0,57538.0,4176.0,-25287.0,-174768.0,14497.0,-16575.0,-19872.0,5866.0,-14742.0,-9245.0,3794.0,-100426.0,-118014.0,-20211.0,-2623.0,100,13.9,10.8,3.0,21.4,41.9,9.4,31.8,10.8,1.9,4.0,3.3,0.3,85.6,81.3,14.4,18.7,276,27.0,40.0,24.0,38.0,38.0,45.0,50.0,54.0,39.0,13.0,16.0,4.0,190.0,197.0,24.8,31.3,34.9,39.7,22.1,29.4,31.2,36.5,"(CONTRACTS OF $100,000 FACE VALUE)",F30,FutOnly,460259,0.491281983406,SHORT,66887,0.123251070134,SHORT,-448564,-0.322467570933,SHORT
16,10-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE,2006-10-03,03.10.2006,043602,CBT,0,43,2241109,295566,214741,82803,449658,983617,212789,673852,191966,72873,111790,88377,7982,1907313,1855148,333796,385961,43744.0,-9222.0,-23160.0,17276.0,-21578.0,63817.0,6444.0,-24704.0,-46331.0,31290.0,24013.0,16902.0,2389.0,25908.0,68627.0,17836.0,-24883.0,100,13.2,9.6,3.7,20.1,43.9,9.5,30.1,8.6,3.3,5.0,3.9,0.4,85.1,82.8,14.9,17.2,286,24.0,41.0,23.0,36.0,40.0,45.0,53.0,54.0,43.0,17.0,21.0,4.0,202.0,199.0,22.7,32.2,32.2,41.0,19.3,30.4,27.6,37.7,"(CONTRACTS OF $100,000 FACE VALUE)",F30,FutOnly,481886,0.556567315533,SHORT,80825,0.158385050568,SHORT,-533959,-0.372544696586,SHORT
17,10-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE,2006-10-10,10.10.2006,043602,CBT,0,43,2347937,394573,179341,90619,462874,1074241,216604,626544,207900,73854,133478,93139,5673,2004219,1941371,343718,406566,106828.0,99007.0,-35400.0,7816.0,13216.0,90624.0,3815.0,-47308.0,15934.0,981.0,21688.0,4762.0,-2309.0,96906.0,86223.0,9922.0,20605.0,100,16.8,7.6,3.9,19.7,45.8,9.2,26.7,8.9,3.1,5.7,4.0,0.2,85.4,82.7,14.6,17.3,294,30.0,39.0,23.0,35.0,43.0,45.0,53.0,52.0,40.0,18.0,24.0,5.0,208.0,199.0,23.8,34.1,34.7,42.9,20.7,32.5,29.6,39.6,"(CONTRACTS OF $100,000 FACE VALUE)",F30,FutOnly,418644,0.501704128737,SHORT,215232,0.375024829504,SHORT,-611367,-0.39773666902,SHORT
18,10-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE,2006-10-17,17.10.2006,043602,CBT,0,43,2434326,426481,179560,119684,496016,1121353,217459,654789,248577,64565,140568,85128,5267,2124829,2041593,309497,392733,86389.0,31908.0,219.0,29065.0,33142.0,47112.0,855.0,28245.0,40677.0,-9289.0,7090.0,-8011.0,-406.0,120610.0,100222.0,-34221.0,-13833.0,100,17.5,7.4,4.9,20.4,46.1,8.9,26.9,10.2,2.7,5.8,3.5,0.2,87.3,83.9,12.7,16.1,305,33.0,43.0,29.0,36.0,41.0,46.0,57.0,51.0,40.0,22.0,22.0,4.0,220.0,204.0,26.1,35.4,36.8,43.8,22.5,33.9,31.1,41.1,"(CONTRACTS OF $100,000 FACE VALUE)",F30,FutOnly,406212,0.449664919866,SHORT,246921,0.407432830452,SHORT,-625337,-0.386638423266,SHORT
19,10-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE,2006-10-24,24.10.2006,043602,CBT,0,43,2518656,466453,162293,106523,524401,1228364,203499,692465,276319,63836,170650,88902,4853,2232680,2134589,285976,384067,84330.0,39972.0,-17267.0,-13161.0,28385.0,107011.0,-13960.0,37676.0,27742.0,-729.0,30082.0,3774.0,-414.0,107851.0,92996.0,-23521.0,-8666.0,100,18.5,6.4,4.2,20.8,48.8,8.1,27.5,11.0,2.5,6.8,3.5,0.2,88.6,84.8,11.4,15.2,302,37.0,38.0,29.0,39.0,40.0,44.0,58.0,49.0,38.0,21.0,21.0,4.0,211.0,203.0,26.1,38.4,36.9,46.9,23.3,37.4,32.4,44.9,"(CONTRACTS OF $100,000 FACE VALUE)",F30,FutOnly,416146,0.429554988522,SHORT,304160,0.483756556702,SHORT,-703963,-0.401629996035,SHORT
20,10-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE,2006-10-31,31.10.2006,043602,CBT,0,43,2413564,375529,205629,125557,521811,1054607,200066,625051,226002,62801,178538,118452,6611,2095964,1999725,317600,413839,-105092.0,-90924.0,43336.0,19034.0,-2590.0,-173757.0,-3433.0,-67414.0,-50317.0,-1035.0,7888.0,29550.0,1758.0,-136716.0,-134864.0,31624.0,29772.0,100,15.6,8.5,5.2,21.6,43.7,8.3,25.9,9.4,2.6,7.4,4.9,0.3,86.8,82.9,13.2,17.1,301,29.0,47.0,30.0,37.0,42.0,46.0,53.0,49.0,35.0,18.0,26.0,5.0,203.0,214.0,23.9,31.5,35.8,39.7,20.5,30.2,30.5,37.2,"(CONTRACTS OF $100,000 FACE VALUE)",F30,FutOnly,399049,0.468888541607,SHORT,169900,0.292347347881,SHORT,-532796,-0.337978886311,SHORT
21,10-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE,2006-11-07,07.11.2006,043602,CBT,0,43,2387678,400675,182278,115919,477748,980056,205411,590176,293037,87914,175863,130159,11366,2065072,2006140,322606,381538,-25886.0,25146.0,-23351.0,-9638.0,-44063.0,-74551.0,5345.0,-34875.0,67035.0,25113.0,-2675.0,11707.0,4755.0,-30892.0,6415.0,5006.0,-32301.0,100,16.8,7.6,4.9,20.0,41.0,8.6,24.7,12.3,3.7,7.4,5.5,0.5,86.5,84.0,13.5,16.0,301,34.0,36.0,25.0,37.0,42.0,48.0,51.0,57.0,46.0,17.0,27.0,4.0,204.0,220.0,23.4,28.8,34.7,37.1,19.6,27.6,29.8,34.7,"(CONTRACTS OF $100,000 FACE VALUE)",F30,FutOnly,297139,0.336429604184,SHORT,218397,0.37463912185,SHORT,-502308,-0.34456483862,SHORT
22,10-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE,2006-11-14,14.11.2006,043602,CBT,0,43,2371687,415145,161565,123672,408746,952263,205902,626121,298624,85274,154922,135278,8142,2027924,1970720,343763,400967,-15991.0,14470.0,-20713.0,7753.0,-69002.0,-27793.0,491.0,35945.0,5587.0,-2640.0,-20941.0,5119.0,-3224.0,-37148.0,-35420.0,21157.0,19429.0,100,17.5,6.8,5.2,17.2,40.2,8.7,26.4,12.6,3.6,6.5,5.7,0.3,85.5,83.1,14.5,16.9,313,37.0,37.0,28.0,37.0,43.0,48.0,58.0,60.0,49.0,15.0,26.0,4.0,215.0,227.0,21.0,27.7,31.5,36.3,16.4,26.6,26.3,33.8,"(CONTRACTS OF $100,000 FACE VALUE)",F30,FutOnly,327497,0.354148440922,SHORT,253580,0.439701062926,SHORT,-543517,-0.399348571538,SHORT
23,10-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE,2006-11-21,21.11.2006,043602,CBT,0,43,2300386,319928,174160,174408,417480,849533,221176,612911,247290,123274,157502,116149,374,2027053,1906364,273333,394022,-71301.0,-95217.0,12595.0,50736.0,8734.0,-102730.0,15274.0,-13210.0,-51334.0,38000.0,2580.0,-19129.0,-7768.0,-871.0,-64356.0,-70430.0,-6945.0,100,13.9,7.6,7.6,18.1,36.9,9.6,26.6,10.7,5.4,6.8,5.0,0.0,88.1,82.9,11.9,17.1,292,31.0,41.0,27.0,37.0,43.0,48.0,66.0,55.0,50.0,17.0,22.0,5.0,210.0,210.0,19.0,24.4,32.5,33.7,14.9,23.1,24.5,30.4,"(CONTRACTS OF $100,000 FACE VALUE)",F30,FutOnly,365621,0.425041356613,SHORT,145768,0.295024368129,SHORT,-432053,-0.341001236767,SHORT
